Дата: 2016/05/26 16:17:00 Наименование: 'Приборы Dmitrienko D.S. часть 1' Позиций добавлено: 182\192 Статус: ОБРАБОТАНО И ПЕРЕМЕЩЕНО В АРХИВ
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('83', '27.01', '7', 'Trimble NetR9 Ti-3', '45720-10', '12', '41773', '01.08.2015', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('93', '27.01', '8', 'GRX1200GG Pro', '42857-09', '24', '38653', '0', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('98', '27.01', '9', 'Hiper', '23323-07', '12', '13403', '01.10.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('99', '27.01', '9', 'Odyssey-E', '23324-02', '12', '13404', '01.08.2007', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('101', '27.01', '9', 'Legacy-H', '23325-02', '12', '13405', '01.08.2007', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('104', '27.01', '9', 'Lexon GGD', '27070-04', '12', '19093', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('105', '27.01', '9', 'Lexon GD', '27070-04', '12', '19093', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('106', '27.01', '9', 'Lexon GG', '27070-04', '12', '19093', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('113', '27.01', '9', 'Prego GGD', '27071-04', '12', '19094', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('114', '27.01', '9', 'Prego GD', '27071-04', '12', '19094', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('115', '27.01', '9', 'Prego GG', '27071-04', '12', '19094', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('122', '27.01', '9', 'Maxor GGD', '27072-04', '12', '19095', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('123', '27.01', '9', 'Maxor GD', '27072-04', '12', '19095', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('124', '27.01', '9', 'Maxor GG', '27072-04', '12', '19095', '01.06.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('131', '27.01', '9', 'GB-500', '28164-04', '12', '20586', '01.12.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('132', '27.01', '9', 'GB-1000', '28164-04', '12', '20586', '01.12.2009', '363', '0', '0', null);
